log_id,timestamp,api_name,endpoint,request_method,response_code,response_time_ms,request_size_bytes,response_size_bytes,server_name,environment,error_code,timeout_flag,transaction_id
API000000001,2024-12-15 00:21:17,KYCAPI,/api/kyc,POST,200,189,1054,3997,SRV031,UAT,,N,TXN0000018366
API000000002,2023-04-07 14:04:31,AuthAPI,/api/auth,GET,201,40,4478,8065,SRV030,PRODUCTION,,N,TXN0000002688
API000000003,2025-06-05 14:59:22,FraudAPI,/api/fraud,POST,200,330,619,4055,SRV022,PRODUCTION,,N,TXN0000018831
API000000004,2025-04-01 11:43:16,AuthAPI,/api/auth,GET,200,227,284,5863,SRV016,PRODUCTION,,N,TXN0000012857
API000000005,2024-10-14 20:49:09,PaymentAPI,/api/payments,POST,200,78,3272,3712,SRV001,UAT,,N,TXN0000017090
API000000006,2025-01-01 06:53:20,AccountAPI,/api/accounts,POST,200,470,3429,8605,SRV037,PRODUCTION,,N,TXN0000024083
API000000007,2026-01-25 08:32:53,PaymentAPI,/api/payments,GET,201,60,1211,1773,SRV023,PRODUCTION,,N,
API000000008,2023-10-11 10:53:29,TransactionAPI,/api/transactions,PUT,400,282,1650,9199,SRV040,PRODUCTION,E107,N,
API000000009,2025-07-19 13:07:43,FraudAPI,/api/fraud,POST,200,46,2276,6205,SRV004,PRODUCTION,,N,TXN0000001072
API000000010,2023-03-05 00:39:02,FraudAPI,/api/fraud,GET,200,922,783,7775,SRV027,PRODUCTION,,N,
API000000011,2024-03-11 10:23:11,AuthAPI,/api/auth,PUT,401,258,3292,3790,SRV004,PRODUCTION,E100,N,TXN0000023015
API000000012,2026-07-09 06:29:30,TransactionAPI,/api/transactions,GET,200,63,4300,8934,SRV039,UAT,,N,TXN0000017110
API000000013,2026-07-19 19:43:33,TransactionAPI,/api/transactions,GET,200,98,1853,9472,SRV004,PRODUCTION,,N,TXN0000006859
API000000014,2024-01-31 11:40:46,AccountAPI,/api/accounts,POST,201,245,4596,1330,SRV031,PRODUCTION,,N,TXN0000003520
API000000015,2025-05-21 00:39:57,CustomerAPI,/api/customers,GET,401,303,3849,4588,SRV025,PRODUCTION,E107,N,TXN0000008237
API000000016,2024-06-28 09:25:56,PaymentAPI,/api/payments,GET,200,107,1295,8826,SRV023,PRODUCTION,,N,TXN0000024723
API000000017,2026-04-20 06:58:15,TransactionAPI,/api/transactions,POST,200,377,923,2178,SRV030,PRODUCTION,,N,TXN0000010352
API000000018,2026-04-27 12:55:31,PaymentAPI,/api/payments,GET,200,223,277,1764,SRV014,UAT,,N,
API000000019,2024-05-04 17:55:15,AccountAPI,/api/accounts,POST,200,568,4024,5953,SRV005,PRODUCTION,,N,TXN0000018869
API000000020,2023-10-22 15:17:24,TransactionAPI,/api/transactions,POST,504,189,2684,1502,SRV003,PRODUCTION,E108,Y,TXN0000010068
API000000021,2025-07-25 12:56:29,AccountAPI,/api/accounts,GET,200,417,2031,4553,SRV022,PRODUCTION,,N,TXN0000016729
API000000022,2024-10-06 17:00:36,KYCAPI,/api/kyc,POST,200,131,4559,8543,SRV005,PRODUCTION,,N,TXN0000002056
API000000023,2024-01-27 02:48:47,TransactionAPI,/api/transactions,GET,500,56,4225,247,SRV020,SIT,E107,N,TXN0000006183
API000000024,2025-04-16 10:36:40,KYCAPI,/api/kyc,PUT,200,91,1213,3430,SRV034,PRODUCTION,,N,
API000000025,2023-04-29 22:57:46,NotificationAPI,/api/notifications,PUT,200,104,862,495,SRV003,PRODUCTION,,N,TXN0000005402
API000000026,2023-08-18 23:08:12,LoanAPI,/api/loans,PUT,200,89,4074,8955,SRV019,UAT,,N,TXN0000023842
API000000027,2026-02-27 13:34:01,AccountAPI,/api/accounts,POST,200,135,1135,3984,SRV005,UAT,,N,
API000000028,2025-10-27 05:29:10,AccountAPI,/api/accounts,DELETE,400,25,3060,4204,SRV034,PRODUCTION,E102,N,TXN0000019640
API000000029,2025-05-04 14:52:45,StatementAPI,/api/statements,POST,201,36,4828,8642,SRV007,PRODUCTION,,N,TXN0000000836
API000000030,2024-06-06 10:50:33,LoanAPI,/api/loans,POST,201,611,3299,3213,SRV006,PRODUCTION,,N,TXN0000004560
API000000031,2023-07-24 06:01:02,PaymentAPI,/api/payments,GET,200,326,4642,4551,SRV001,PRODUCTION,,N,
API000000032,2025-10-11 05:15:49,TransactionAPI,/api/transactions,GET,200,369,1630,3195,SRV009,PRODUCTION,,N,
API000000033,2023-06-19 11:38:55,LoanAPI,/api/loans,GET,200,100,3212,1584,SRV016,PRODUCTION,,N,TXN0000021468
