log_id,timestamp,log_level,application_module,service_name,server_name,error_code,error_message,stack_trace,user_id,transaction_id,correlation_id
APP0000000001,2026-03-12 22:28:19,WARN,API Gateway,api_gateway_service,SRV022,E106,DATABASE_ERROR detected in API Gateway,,USR0005116,,CORR00008562
APP0000000002,2025-07-11 15:38:24,INFO,Statements,statements_service,SRV036,,Operation completed successfully,,USR0006407,,CORR00001334
APP0000000003,2024-12-21 12:48:09,WARN,Customer Onboarding,customer_onboarding_service,SRV031,E110,SETTLEMENT_FAILURE detected in Customer Onboarding,,USR0003696,,CORR00007703
APP0000000004,2025-06-17 18:23:15,INFO,Fraud Monitoring,fraud_monitoring_service,SRV010,,Operation completed successfully,,USR0003694,,CORR00003879
APP0000000005,2023-09-16 16:00:10,INFO,Accounts,accounts_service,SRV040,,Operation completed successfully,,USR0008425,,CORR00010047
APP0000000006,2024-09-16 14:02:39,INFO,Payments,payments_service,SRV001,,Operation completed successfully,,USR0006830,,CORR00005465
APP0000000007,2024-01-11 09:55:43,INFO,Notifications,notifications_service,SRV028,,Operation completed successfully,,,TXN0000013093,CORR00004723
APP0000000008,2023-02-08 08:05:31,ERROR,UPI,upi_service,SRV038,E104,DUPLICATE_TRANSACTION detected in UPI,Traceback: UPIService.py line 215 -> DUPLICATE_TRANSACTION,,,CORR00005978
APP0000000009,2025-03-09 03:21:57,INFO,Payments,payments_service,SRV025,,Operation completed successfully,,USR0008072,,CORR00005251
APP0000000010,2023-04-28 09:18:24,INFO,Statements,statements_service,SRV020,,Operation completed successfully,,USR0005982,,CORR00003733
APP0000000011,2026-02-22 09:00:12,INFO,Statements,statements_service,SRV027,,Operation completed successfully,,,,CORR00011725
APP0000000012,2023-11-23 03:00:25,INFO,Payments,payments_service,SRV004,,Operation completed successfully,,,TXN0000010691,CORR00000815
APP0000000013,2023-01-13 17:38:01,ERROR,Fraud Monitoring,fraud_monitoring_service,SRV040,E111,SERVICE_UNAVAILABLE detected in Fraud Monitoring,Traceback: FraudMonitoringService.py line 161 -> SERVICE_UNAVAILABLE,USR0000226,,CORR00008662
APP0000000014,2025-01-15 04:29:32,ERROR,Notifications,notifications_service,SRV031,E109,INVALID_BENEFICIARY detected in Notifications,Traceback: NotificationsService.py line 334 -> INVALID_BENEFICIARY,USR0007056,,CORR00006765
APP0000000015,2023-12-20 03:20:32,DEBUG,Cards,cards_service,SRV039,,Operation completed successfully,,USR0007385,,CORR00009779
APP0000000016,2025-06-07 23:26:21,ERROR,Statements,statements_service,SRV013,E104,DUPLICATE_TRANSACTION detected in Statements,Traceback: StatementsService.py line 267 -> DUPLICATE_TRANSACTION,USR0002342,TXN0000019851,CORR00005279
APP0000000017,2024-04-01 22:13:42,ERROR,UPI,upi_service,SRV009,E101,ACCOUNT_NOT_FOUND detected in UPI,Traceback: UPIService.py line 284 -> ACCOUNT_NOT_FOUND,USR0006653,,CORR00009026
APP0000000018,2023-06-22 14:15:29,WARN,KYC,kyc_service,SRV027,E106,DATABASE_ERROR detected in KYC,,USR0000433,TXN0000010774,CORR00006505
APP0000000019,2026-06-17 15:54:25,INFO,Accounts,accounts_service,SRV019,,Operation completed successfully,,USR0005251,,CORR00008220
APP0000000020,2024-04-04 20:57:27,INFO,Statements,statements_service,SRV032,,Operation completed successfully,,,,CORR00003176
APP0000000021,2025-11-25 12:41:17,DEBUG,Customer Onboarding,customer_onboarding_service,SRV017,,Operation completed successfully,,USR0001526,,CORR00000681
APP0000000022,2023-03-29 05:55:24,INFO,Payments,payments_service,SRV010,,Operation completed successfully,,USR0008487,TXN0000002107,CORR00001430
APP0000000023,2024-10-30 12:05:43,INFO,KYC,kyc_service,SRV003,,Operation completed successfully,,,,CORR00002037
APP0000000024,2026-03-23 05:50:06,DEBUG,UPI,upi_service,SRV023,,Operation completed successfully,,,,CORR00001437
APP0000000025,2024-03-16 23:39:44,WARN,Cards,cards_service,SRV018,E106,DATABASE_ERROR detected in Cards,,USR0005598,,CORR00009785
