incident_id,incident_title,application_module,severity,priority,reported_datetime,environment,incident_status,assigned_team,assigned_engineer,root_cause,resolution_summary,resolved_datetime,sla_hours,sla_breached,related_transaction_id,related_release_id
INC00000001,KYC service issue - UPSTREAM_TIMEOUT,KYC,SEV3,P3,2024-11-24 07:56:41,DEV,CLOSED,Fraud & Risk,ENG0120,Code Defect,Resolved by addressing code defect and validating impacted service.,2024-11-24 18:07:35,24,N,TXN0000009021,REL0238
INC00000002,UPI service issue - INVALID_CUSTOMER,UPI,SEV3,P3,2023-10-12 15:39:29,UAT,CLOSED,Payments,ENG0176,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2023-10-14 16:49:00,24,Y,TXN0000018194,REL0292
INC00000003,UPI service issue - KYC_BLOCK,UPI,SEV4,P4,2023-09-16 23:11:54,PRODUCTION,CLOSED,Cards,ENG0256,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2023-09-18 07:50:05,72,N,TXN0000024367,REL0310
INC00000004,Notifications service issue - DATABASE_ERROR,Notifications,SEV4,P4,2026-02-11 10:21:33,DEV,OPEN,Platform Engineering,ENG0278,,,,72,Y,TXN0000003253,REL0126
INC00000005,Cards service issue - INSUFFICIENT_BALANCE,Cards,SEV4,P4,2023-04-17 17:02:16,PRODUCTION,IN_PROGRESS,Lending,ENG0003,,,,72,Y,TXN0000016037,REL0121
INC00000006,Payments service issue - DUPLICATE_TRANSACTION,Payments,SEV2,P2,2025-10-05 21:34:36,PRODUCTION,IN_PROGRESS,Fraud & Risk,ENG0146,,,,8,Y,,REL0132
INC00000007,Cards service issue - DATABASE_ERROR,Cards,SEV3,P3,2023-01-21 17:33:10,PRODUCTION,CLOSED,Digital Banking,ENG0289,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2023-01-22 03:43:19,24,N,,REL0130
INC00000008,Loans service issue - AUTH_FAILURE,Loans,SEV3,P3,2025-06-15 15:56:38,PRODUCTION,RESOLVED,Platform Engineering,ENG0099,Deployment Regression,Resolved by addressing deployment regression and validating impacted service.,2025-06-17 11:01:58,24,Y,,REL0249
INC00000009,KYC service issue - DATABASE_ERROR,KYC,SEV2,P2,2024-10-12 01:30:34,PRODUCTION,RESOLVED,Lending,ENG0221,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2024-10-12 03:39:12,8,N,,REL0275
INC00000010,Statements service issue - INVALID_BENEFICIARY,Statements,SEV4,P4,2024-05-10 16:04:34,PRODUCTION,RESOLVED,Digital Banking,ENG0067,Code Defect,Resolved by addressing code defect and validating impacted service.,2024-05-11 19:55:35,72,N,,REL0161
INC00000011,Cards service issue - DUPLICATE_TRANSACTION,Cards,SEV3,P3,2023-06-17 01:08:35,PRODUCTION,CLOSED,Platform Engineering,ENG0173,Code Defect,Resolved by addressing code defect and validating impacted service.,2023-06-19 12:30:46,24,Y,TXN0000002930,REL0345
INC00000012,Loans service issue - KYC_BLOCK,Loans,SEV3,P3,2023-01-28 23:09:17,PRODUCTION,CLOSED,Platform Engineering,ENG0135,Network Failure,Resolved by addressing network failure and validating impacted service.,2023-01-31 07:24:21,24,Y,TXN0000021020,REL0121
INC00000013,Statements service issue - ACCOUNT_NOT_FOUND,Statements,SEV3,P3,2023-05-14 09:39:00,UAT,OPEN,Lending,ENG0041,,,,24,Y,,REL0225
INC00000014,KYC service issue - INSUFFICIENT_BALANCE,KYC,SEV3,P3,2024-11-20 13:13:14,UAT,RESOLVED,KYC & Onboarding,ENG0300,Database Lock,Resolved by addressing database lock and validating impacted service.,2024-11-21 10:53:50,24,N,TXN0000016676,REL0183
INC00000015,KYC service issue - SETTLEMENT_FAILURE,KYC,SEV3,P3,2023-12-31 15:36:16,PRODUCTION,RESOLVED,Platform Engineering,ENG0293,Network Failure,Resolved by addressing network failure and validating impacted service.,2024-01-02 15:06:53,24,Y,TXN0000017841,REL0219
INC00000016,Cards service issue - RATE_LIMIT,Cards,SEV4,P4,2024-10-11 01:18:32,PRODUCTION,IN_PROGRESS,Cards,ENG0127,,,,72,Y,,REL0315
