transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,risk_score
TXN0000000001,ACC000008777,CUST0003549,2025-03-09 21:22:35,IMPS,MOBILE,1034.76,GBP,BEN0010383,Bhubaneswar,Mumbai,DEV0001552,201.217.194.85,FAILED,DATABASE_ERROR,PENDING,N,15
TXN0000000002,ACC000007416,CUST0003149,2023-01-05 17:24:08,CARD_PURCHASE,MOBILE,4290.71,INR,BEN0009043,Chennai,Mumbai,DEV0002054,214.59.57.177,SUCCESS,,SETTLED,N,10
TXN0000000003,ACC000010498,CUST0000946,2023-02-22 12:08:27,BILL_PAYMENT,POS,44451.38,INR,BEN0006378,Indore,Kolkata,DEV0011843,30.83.253.38,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000000004,ACC000001476,CUST0006056,2025-06-28 10:14:59,UPI,INTERNET_BANKING,4436.81,INR,BEN0004356,Kochi,Indore,DEV0002183,36.135.98.243,SUCCESS,,SETTLED,N,20
TXN0000000005,ACC000001925,CUST0008306,2023-08-18 06:05:31,CASH_DEPOSIT,POS,27464.6,INR,BEN0005827,Hyderabad,Kochi,DEV0008152,132.191.67.248,SUCCESS,,SETTLED,N,10
TXN0000000006,ACC000012656,CUST0009757,2025-03-31 00:34:28,UPI,MOBILE,1599.72,INR,BEN0005906,Ahmedabad,New Delhi,DEV0007222,142.188.56.43,SUCCESS,,SETTLED,N,10
TXN0000000007,ACC000004600,CUST0003441,2025-11-08 05:51:09,NEFT,API,9884.33,INR,BEN0011945,Kochi,Jaipur,DEV0009020,36.3.246.179,SUCCESS,,SETTLED,N,25
TXN0000000008,ACC000002081,CUST0000652,2023-12-04 15:00:07,UPI,INTERNET_BANKING,5521.08,INR,BEN0005358,Lucknow,Jaipur,DEV0008167,130.101.122.140,SUCCESS,,SETTLED,N,20
TXN0000000009,ACC000002452,CUST0000579,2023-04-09 12:22:05,CASH_DEPOSIT,API,45260.88,INR,BEN0011788,Bhubaneswar,Jaipur,DEV0011440,183.11.137.156,SUCCESS,,SETTLED,N,15
TXN0000000010,ACC000000338,CUST0009442,2024-04-24 14:04:43,UPI,ATM,5908.48,INR,BEN0007411,Indore,Bhubaneswar,DEV0011810,65.189.103.206,SUCCESS,,SETTLED,N,20
TXN0000000011,ACC000010154,CUST0005251,2026-07-06 18:48:20,UPI,MOBILE,1007.82,INR,BEN0001003,Bhubaneswar,Lucknow,DEV0010799,126.123.25.139,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000000012,ACC000001744,CUST0003978,2024-07-22 15:54:18,UPI,MOBILE,2760.02,INR,BEN0005258,Kochi,Bengaluru,DEV0002051,166.82.230.183,SUCCESS,,SETTLED,N,40
TXN0000000013,ACC000010619,CUST0005871,2026-07-20 16:00:28,IMPS,INTERNET_BANKING,41399.35,INR,BEN0000514,Kochi,Ahmedabad,DEV0010317,67.167.175.167,SUCCESS,,SETTLED,N,10
TXN0000000014,ACC000012501,CUST0001670,2026-02-09 11:28:37,IMPS,POS,5430.65,INR,BEN0006365,Kolkata,Hyderabad,DEV0003665,37.101.55.44,REVERSED,INVALID_BENEFICIARY,SETTLED,N,30
TXN0000000015,ACC000006257,CUST0006787,2023-08-13 18:40:43,UPI,ATM,3363.95,INR,BEN0005265,Kolkata,Chennai,DEV0000280,16.149.122.84,SUCCESS,,SETTLED,N,20
TXN0000000016,ACC000008238,CUST0000649,2023-02-01 20:22:01,UPI,MOBILE,7338.64,INR,BEN0012426,Kolkata,Bhubaneswar,DEV0002678,157.104.207.69,SUCCESS,,SETTLED,N,10
TXN0000000017,ACC000008201,CUST0006728,2025-10-13 04:02:46,UPI,INTERNET_BANKING,4997.94,INR,BEN0011703,Bengaluru,Bhubaneswar,DEV0011620,47.191.158.92,SUCCESS,,SETTLED,N,10
TXN0000000018,ACC000013636,CUST0004549,2025-07-15 12:00:06,CASH_DEPOSIT,MOBILE,977.05,INR,BEN0003139,Hyderabad,New Delhi,DEV0008896,197.199.26.169,SUCCESS,,SETTLED,N,10
TXN0000000019,ACC000002066,CUST0001069,2023-12-04 03:34:01,UPI,MOBILE,1412.76,INR,BEN0014710,Mumbai,Mumbai,DEV0001141,204.179.241.87,SUCCESS,,SETTLED,N,20
TXN0000000020,ACC000003979,CUST0005494,2024-05-20 10:18:54,NEFT,POS,10643.95,INR,BEN0011633,Kochi,Bhubaneswar,DEV0009125,97.147.11.205,SUCCESS,,SETTLED,N,30
TXN0000000021,ACC000001171,CUST0009337,2023-01-25 14:45:32,CARD_PURCHASE,POS,709.38,INR,BEN0008778,Jaipur,Kochi,DEV0003701,58.172.206.127,SUCCESS,,SETTLED,N,30
TXN0000000022,ACC000012320,CUST0004615,2023-06-27 00:11:11,NEFT,MOBILE,3909.82,INR,BEN0004773,Bengaluru,Jaipur,DEV0003614,99.93.139.155,SUCCESS,,FAILED,N,10
TXN0000000023,ACC000006390,CUST0002100,2023-04-13 07:11:28,UPI,API,1084.62,INR,BEN0010472,Ahmedabad,Jaipur,DEV0005149,19.90.20.245,SUCCESS,,SETTLED,N,25
TXN0000000024,ACC000000730,CUST0002326,2024-10-16 03:38:31,RTGS,POS,6509.44,INR,BEN0003732,Ahmedabad,Lucknow,DEV0009649,157.122.203.36,SUCCESS,,SETTLED,N,10
TXN0000000025,ACC000007162,CUST0008213,2023-12-26 18:49:25,CARD_PURCHASE,MOBILE,579.54,INR,BEN0010526,Bengaluru,Hyderabad,DEV0010637,21.114.171.214,SUCCESS,,PENDING,N,20
TXN0000000026,ACC000011988,CUST0000904,2025-02-17 14:24:03,UPI,MOBILE,379.05,INR,BEN0002716,Bengaluru,Hyderabad,DEV0005518,35.20.119.132,SUCCESS,,SETTLED,N,10
TXN0000000027,ACC000010981,CUST0002129,2026-07-01 17:40:46,CARD_PURCHASE,MOBILE,5778.75,INR,BEN0006447,Ahmedabad,Lucknow,DEV0001708,22.59.146.76,SUCCESS,,SETTLED,N,10
TXN0000000028,ACC000001013,CUST0008581,2023-04-13 11:23:02,IMPS,MOBILE,5304.48,INR,BEN0002267,Mumbai,Kochi,DEV0001702,211.24.181.136,SUCCESS,,PENDING,N,10
TXN0000000029,ACC000006498,CUST0007443,2026-02-23 15:48:20,CARD_PURCHASE,MOBILE,10857.32,INR,BEN0008975,Indore,New Delhi,DEV0002351,199.143.16.39,FAILED,INVALID_CUSTOMER,SETTLED,N,15
TXN0000000030,ACC000001551,CUST0009834,2025-10-26 06:10:58,UPI,POS,13162.66,INR,BEN0004973,Kolkata,Hyderabad,DEV0008792,145.254.159.79,FAILED,DUPLICATE_TRANSACTION,SETTLED,N,15
TXN0000000031,ACC000011305,CUST0000248,2024-03-21 14:44:56,INTERNAL_TRANSFER,POS,9942.25,INR,BEN0003736,Bhubaneswar,Bhubaneswar,DEV0009372,52.205.187.34,SUCCESS,,SETTLED,N,10
TXN0000000032,ACC000003793,CUST0006327,2026-06-12 14:58:37,RTGS,MOBILE,2171.26,INR,BEN0006951,Bengaluru,Kolkata,DEV0000184,47.137.54.178,SUCCESS,,SETTLED,N,20
TXN0000000033,ACC000007347,CUST0000893,2024-08-01 17:30:56,CARD_PURCHASE,MOBILE,10047.96,INR,BEN0004782,Ahmedabad,Bengaluru,DEV0010443,106.52.166.242,SUCCESS,,SETTLED,N,20
TXN0000000034,ACC000007733,CUST0009505,2023-07-01 19:28:01,CASH_DEPOSIT,API,4302.88,INR,BEN0011250,Lucknow,Kolkata,DEV0005962,188.131.148.170,SUCCESS,,SETTLED,N,15
TXN0000000035,ACC000006528,CUST0007695,2026-03-04 07:10:56,INTERNAL_TRANSFER,API,746.33,INR,BEN0011535,Indore,Lucknow,DEV0001661,76.232.77.246,SUCCESS,,SETTLED,N,15
TXN0000000036,ACC000005770,CUST0004623,2024-01-06 22:36:55,UPI,INTERNET_BANKING,2864.13,INR,BEN0008144,Bengaluru,Indore,DEV0002981,101.107.103.177,SUCCESS,,SETTLED,N,10
TXN0000000037,ACC000011141,CUST0002309,2025-04-09 02:28:53,INTERNAL_TRANSFER,MOBILE,2101.75,EUR,BEN0004960,Hyderabad,Bengaluru,DEV0005492,188.226.77.187,SUCCESS,,SETTLED,N,30
TXN0000000038,ACC000000065,CUST0002797,2025-07-13 16:40:11,NEFT,BRANCH,1184.03,INR,BEN0013843,New Delhi,Bengaluru,DEV0001092,167.214.30.247,PENDING,RATE_LIMIT,SETTLED,N,10
TXN0000000039,ACC000011855,CUST0006643,2025-09-14 17:05:37,CARD_PURCHASE,API,1722.15,INR,BEN0005923,Mumbai,New Delhi,DEV0000717,,SUCCESS,,SETTLED,N,25
TXN0000000040,ACC000006450,CUST0004468,2026-06-12 01:56:44,RTGS,INTERNET_BANKING,2560.5,INR,BEN0012083,New Delhi,New Delhi,DEV0007111,162.190.74.192,SUCCESS,,SETTLED,N,10
TXN0000000041,ACC000001702,CUST0003941,2025-03-22 13:57:33,ATM_WITHDRAWAL,MOBILE,19246.77,INR,BEN0004805,Ahmedabad,Bengaluru,DEV0010045,14.124.255.175,SUCCESS,,NOT_APPLICABLE,N,10
TXN0000000042,ACC000012022,CUST0004352,2023-01-10 17:27:59,BILL_PAYMENT,MOBILE,1775.73,EUR,BEN0005781,Jaipur,Indore,DEV0007633,30.252.32.60,SUCCESS,,NOT_APPLICABLE,N,20
TXN0000000043,ACC000014401,CUST0003974,2024-04-06 23:51:47,NEFT,POS,3999.52,INR,BEN0009926,Indore,Jaipur,DEV0005665,88.209.22.34,SUCCESS,,SETTLED,N,10
TXN0000000044,ACC000002702,CUST0003863,2026-01-07 00:04:00,CARD_PURCHASE,INTERNET_BANKING,7549.09,INR,BEN0012451,Chennai,Kochi,DEV0007124,194.164.238.16,SUCCESS,,SETTLED,N,20
TXN0000000045,ACC000010983,CUST0009951,2024-09-03 17:25:08,CARD_PURCHASE,INTERNET_BANKING,3204.42,INR,BEN0011823,Lucknow,Ahmedabad,DEV0003883,126.239.130.238,FAILED,INSUFFICIENT_BALANCE,NOT_APPLICABLE,N,25
TXN0000000046,ACC000013020,CUST0009261,2024-12-23 03:41:00,UPI,MOBILE,2431.74,INR,BEN0002256,Bhubaneswar,Jaipur,DEV0002385,185.7.122.165,SUCCESS,,SETTLED,N,40
TXN0000000047,ACC000003397,CUST0004421,2023-09-02 10:11:02,CARD_PURCHASE,POS,14898.87,EUR,BEN0007185,Ahmedabad,Hyderabad,DEV0009425,55.23.19.166,PENDING,RATE_LIMIT,SETTLED,N,20
TXN0000000048,ACC000004251,CUST0003699,2023-10-14 13:36:38,IMPS,INTERNET_BANKING,14908.29,INR,BEN0013739,Bhubaneswar,Chennai,DEV0007965,40.153.250.36,SUCCESS,,SETTLED,N,10
TXN0000000049,ACC000007602,CUST0002562,2026-05-13 20:16:20,CARD_PURCHASE,POS,3137.41,INR,BEN0008201,Kolkata,Mumbai,DEV0006282,30.249.60.14,SUCCESS,,SETTLED,N,10
TXN0000000050,ACC000007105,CUST0002390,2024-09-29 13:05:26,ATM_WITHDRAWAL,MOBILE,9246.52,INR,BEN0001097,Bengaluru,Kolkata,DEV0005133,191.56.199.207,SUCCESS,,NOT_APPLICABLE,N,10
TXN0000000051,ACC000007524,CUST0006989,2026-05-17 08:20:48,ATM_WITHDRAWAL,ATM,3174.04,INR,BEN0009733,Hyderabad,Hyderabad,DEV0007517,70.114.99.245,SUCCESS,,FAILED,N,30
TXN0000000052,ACC000011142,CUST0009170,2023-09-05 19:48:25,UPI,POS,4101.58,INR,BEN0014691,Kolkata,Hyderabad,DEV0011437,34.144.206.41,SUCCESS,,PENDING,N,40
TXN0000000053,ACC000003211,CUST0001653,2025-01-21 12:34:45,BILL_PAYMENT,INTERNET_BANKING,5413.56,INR,BEN0001621,Ahmedabad,Kolkata,DEV0005671,153.73.74.136,SUCCESS,,SETTLED,N,10
